TRAINING
immediate immediately
lucky luckily
apparent apparently
usual usually
slow slowly
unfortunate unfortunately
fortunate fortunately
occasional occasionally
most mostly
cheerful cheerfully
complete completely
furious furiously
professional professionally
swift swiftly
possible possibly
efficient efficiently
sudden suddenly
rapid rapidly
amazing amazingly
serious seriously
reluctant reluctantly
typical typically
infrequent infrequently
obvious obviously
calm calmly
quiet quietly
TUNING
rare rarely
happy happily
quick quickly
TEST
free freely
precise precisely
safe safely
