TRAINING
infrequent infrequently
typical typically
apparent apparently
most mostly
quick quickly
furious furiously
serious seriously
occasional occasionally
slow slowly
obvious obviously
happy happily
calm calmly
rare rarely
swift swiftly
sudden suddenly
amazing amazingly
unfortunate unfortunately
rapid rapidly
possible possibly
cheerful cheerfully
efficient efficiently
safe safely
fortunate fortunately
professional professionally
free freely
quiet quietly
TUNING
precise precisely
lucky luckily
complete completely
TEST
reluctant reluctantly
immediate immediately
usual usually
