TRAINING
immediate immediately
typical typically
apparent apparently
usual usually
quick quickly
furious furiously
serious seriously
occasional occasionally
most mostly
obvious obviously
happy happily
calm calmly
rare rarely
swift swiftly
sudden suddenly
efficient efficiently
unfortunate unfortunately
rapid rapidly
possible possibly
cheerful cheerfully
reluctant reluctantly
safe safely
infrequent infrequently
professional professionally
free freely
quiet quietly
TUNING
precise precisely
lucky luckily
complete completely
TEST
amazing amazingly
fortunate fortunately
slow slowly
