TRAINING
professional professionally
sudden suddenly
furious furiously
safe safely
cheerful cheerfully
possible possibly
quick quickly
free freely
fortunate fortunately
lucky luckily
infrequent infrequently
amazing amazingly
calm calmly
immediate immediately
serious seriously
most mostly
obvious obviously
slow slowly
usual usually
unfortunate unfortunately
complete completely
rare rarely
typical typically
efficient efficiently
TUNING
precise precisely
happy happily
reluctant reluctantly
TEST
occasional occasionally
quiet quietly
rapid rapidly
swift swiftly
apparent apparently
